seed,horizon,model,median_km,rank,is_best,router_pick
7,24h,Random Forest,102.678,7,False,
7,24h,CatBoost,103.134,8,False,
7,48h,Persistence Residual Cascade,233.59,1,True,
7,48h,XGBoost,233.907,2,False,
7,48h,LightGBM,236.517,3,False,
7,48h,Stacking Ensemble,240.117,4,False,
7,48h,CB+MotionNN,243.04,5,False,
7,48h,Random Forest,243.365,6,False,
7,48h,SECE v2 Phase3,247.673,7,False,SECE NNLS full
7,48h,CatBoost,252.322,8,False,
13,3h,SECE v2 Phase3,4.859,1,True,STK+residual LGB
13,3h,Random Forest,4.884,2,False,
13,3h,Stacking Ensemble,4.901,3,False,
13,3h,CB+MotionNN,5.838,4,False,
13,3h,LightGBM,6.1,5,False,
13,3h,XGBoost,6.451,6,False,
13,3h,CatBoost,8.681,7,False,
13,3h,Persistence Residual Cascade,9.042,8,False,
13,12h,Stacking Ensemble,36.334,1,True,
13,12h,SECE v2 Phase3,36.334,2,False,Stacking Ensemble
13,12h,XGBoost,36.636,3,False,
13,12h,Random Forest,37.193,4,False,
13,12h,LightGBM,37.281,5,False,
13,12h,Persistence Residual Cascade,37.829,6,False,
13,12h,CB+MotionNN,38.015,7,False,
13,12h,CatBoost,42.527,8,False,
13,24h,Stacking Ensemble,101.89,1,True,
13,24h,Random Forest,103.437,2,False,
13,24h,LightGBM,103.781,3,False,
13,24h,SECE v2 Phase3,103.781,4,False,LightGBM
13,24h,XGBoost,104.017,5,False,
13,24h,CB+MotionNN,104.047,6,False,
13,24h,Persistence Residual Cascade,105.028,7,False,
13,24h,CatBoost,108.169,8,False,
13,48h,XGBoost,241.823,1,True,
13,48h,SECE v2 Phase3,241.989,2,False,SECE km-NNLS
13,48h,Persistence Residual Cascade,243.114,3,False,
13,48h,LightGBM,243.69,4,False,
13,48h,Stacking Ensemble,248.948,5,False,
13,48h,CB+MotionNN,249.69,6,False,
13,48h,Random Forest,251.954,7,False,
13,48h,CatBoost,256.103,8,False,
99,3h,Stacking Ensemble,5.023,1,True,
99,3h,SECE v2 Phase3,5.023,2,False,Stacking Ensemble
99,3h,Random Forest,5.087,3,False,
99,3h,CB+MotionNN,5.856,4,False,
99,3h,LightGBM,6.162,5,False,
99,3h,XGBoost,6.468,6,False,
99,3h,CatBoost,8.548,7,False,
99,3h,Persistence Residual Cascade,8.878,8,False,
99,12h,Stacking Ensemble,37.594,1,True,
