SID,ISO_TIME,shear_grad_motion,wspd850_std_patch,msl_trough_dist_km,msl_trough_bearing_deg,msl_patch_anom,shear_asym_motion
1940139N12083,1940-05-18 03:00:00,-0.0116682654653138,3.80007529258728,109.07159066947229,14.394314330910332,-103.3515625,4.682250670398359
1940139N12083,1940-05-18 06:00:00,0.0255113213505912,4.077066898345947,131.71232029810807,21.72716772561421,-75.71875,4.483316358892326
1940139N12083,1940-05-18 09:00:00,-0.0360335110384578,3.966214418411255,163.5543686200937,41.48924501229652,-1.59375,-3.5666952902330955
1940139N12083,1940-05-18 12:00:00,-0.0325451789967393,3.7040281295776367,171.2726498639907,49.38856696732188,-4.203125,-4.057121029003801
1940139N12083,1940-05-18 15:00:00,-0.0143024109918129,3.610684633255005,225.547779450696,42.15993134025285,2.296875,-4.448704540644712
1940139N12083,1940-05-18 18:00:00,-0.0247735335652805,2.72039532661438,213.683593818214,43.09081260485493,21.8125,0.1588912079854729
1940139N12083,1940-05-18 21:00:00,-0.0813722797050279,3.772827386856079,214.0770796160309,40.99219120851916,24.1875,-3.318966016553677
1940139N12083,1940-05-19 00:00:00,-0.0043991880372448,3.627523422241211,213.36929483935512,45.13306222702249,21.1328125,-0.1780055586104083
1940139N12083,1940-05-19 03:00:00,-0.1325880992848406,5.414490699768066,213.4810411623781,43.0272392438032,-2.203125,-8.680960467044528
1940139N12083,1940-05-19 06:00:00,-0.0205161354834302,5.6271514892578125,213.1468653832989,45.06790678755692,67.265625,-6.610859405417216
1940139N12083,1940-05-19 09:00:00,-0.0909436518896314,6.532499313354492,186.80563259421152,51.15937614126085,-56.4609375,-9.294446692284136
1940139N12083,1940-05-19 12:00:00,-0.0603392912285317,6.435582637786865,191.93232741923447,54.42238109002511,49.5,-5.029694800111852
1940139N12083,1940-05-19 15:00:00,-0.0398043898849607,6.513518333435059,208.90159826965373,46.04314046559392,85.15625,-5.485502134516125
1940139N12083,1940-05-19 18:00:00,-0.0268112186208552,5.273529052734375,232.02193530296728,43.85168454372405,26.3671875,-0.0687728204005182
1940139N12083,1940-05-19 21:00:00,-0.0003785431754855,3.2763400077819824,227.9127951038524,44.78262845398956,16.96875,1.4096730161938744
1940139N12083,1940-05-20 00:00:00,-0.0792870576009844,3.096385955810547,195.3260959933509,37.01365892304614,-43.0703125,-4.215188214261339
1940139N12083,1940-05-20 03:00:00,-0.0566587221759971,3.4838621616363525,173.57406836314473,21.6573412987076,-36.546875,-2.079558778349611
1940139N12083,1940-05-20 06:00:00,-0.0819372996428708,3.4107654094696045,147.10969276813415,19.061076856040245,-8.6484375,-11.828235676745294
1940139N12083,1940-05-20 09:00:00,-0.0350682318555223,4.198968887329102,126.29900297980262,22.35709560486725,-140.0390625,-2.05886923523941
1940139N12083,1940-05-20 12:00:00,0.0014627977514871,5.021769046783447,111.33372001072628,31.82913511663253,-224.2265625,2.872379075518552
1940139N12083,1940-05-20 15:00:00,-0.0164259346707144,5.587430000305176,131.6175558637611,40.39545597451223,-103.4140625,-2.588405152804232
1940139N12083,1940-05-20 18:00:00,0.0683950078990837,5.988417148590088,164.3803262854921,35.60845944100146,-63.109375,8.35146971784295
1940139N12083,1940-05-20 21:00:00,-0.0128414406346281,5.518738269805908,175.13095088063545,37.33045336843986,-72.2734375,1.6023376094847102
