window,year_start,year_end,n_storms,n_track_points_ready,frac_storms_bob_genesis,frac_storms_majority_missing_wmo_wind,frac_storms_majority_missing_usa_wind,frac_storms_majority_missing_newdelhi_wind,mean_frac_missing_wmo_wind,mean_frac_missing_newdelhi_wind_ready,mean_frac_irregular_dt,mean_frac_latnext_mismatch,mean_frac_track_not_main,mean_frac_nature_nr
full_era5,1940,2024,852,27728,0.8943661971830986,0.8251173708920188,0.7312206572769953,0.7312206572769953,0.8179057421139303,0.7530029096304496,0.0033234426534694845,0.003070432135994943,0.0011737089201877935,0.06706338462205555
satellite,1979,2024,353,12370,0.8640226628895185,0.5779036827195467,0.43909348441926344,0.35127478753541075,0.56231671722216,0.4038483824508301,0.008021453656532581,0.007410788044950968,0.0,0.1618640331387856
modern,1990,2024,269,9446,0.8698884758364313,0.45353159851301117,0.42379182156133827,0.2862453531598513,0.5002076719285782,0.33177404348114187,0.0005439956937879528,0.0002580363000218675,0.0,0.2079340299452089
pre_satellite,1940,1978,499,15358,0.9158316633266533,1.0,0.9378757515030061,1.0,0.9987132086205334,1.0,0.0,0.0,0.002004008016032064,0.0
pre_era5,1842,1939,667,18325,0.9970014992503748,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0029985007496251873
