n_ibtracs_points,frac_missing_wmo_wind,frac_missing_usa_wind,frac_missing_newdelhi_wind,frac_track_not_main,frac_nature_nr,n_ready_points,frac_newdelhi_wind_missing_ready,frac_irregular_dt,frac_latnext_mismatch,genesis_year,SID
74,1.0,1.0,1.0,0.0,0.0,70.0,1.0,0.0,0.0,1882.0,1882249N20090
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1882.0,1882257N18087
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1882.0,1882269N16092
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1882.0,1882285N13085
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1882.0,1882300N11089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1882.0,1882325N09089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1882.0,1882332N10087
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1883.0,1883165N21087
66,1.0,1.0,1.0,0.0,0.0,62.0,1.0,0.0,0.0,1883.0,1883177N20089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1883.0,1883184N20090
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1883.0,1883187N20089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1883.0,1883193N19089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1883.0,1883207N21090
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1883.0,1883234N18088
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1883.0,1883314N11095
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1883.0,1883338N17086
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1884.0,1884135N11090
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1884.0,1884171N20088
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1884.0,1884182N21089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1884.0,1884191N21089
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1884.0,1884197N20088
74,1.0,1.0,1.0,0.0,0.0,70.0,1.0,0.0,0.0,1884.0,1884200N21089
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1884.0,1884215N21088
