era,year_start,year_end,n_track_points,n_storms,frac_iflag_interpolated_position,frac_iflag_no_primary_position,frac_track_not_main,frac_missing_wmo_wind,frac_missing_usa_wind,frac_missing_newdelhi_wind,storms_majority_missing_wmo_wind,storms_majority_missing_newdelhi_wind,ready_frac_irregular_dt,ready_frac_latnext_mismatch,ready_frac_newdelhi_wind_missing,ready_n_points,ready_n_storms,qc_std_dlat_deg,qc_std_dlon_deg,qc_median_geo_speed_kmh,qc_mean_abs_bearing_change_deg,qc_n_points,era5_std_u850,era5_std_v850,era5_std_wspd850,era5_n_points
pre_satellite,1940,1978,15083,489,0.0,0.11423456871975071,0.0,1.0,0.953391235165418,1.0,1.0,1.0,0.0,0.0,1.0,15358,499,0.1722369761476502,0.3100797001004063,11.685653391775784,27.435851361776404,15358,6.414783305090772,6.053239213920038,4.833517621449266,15358
bridge_satellite,1979,1989,2464,81,0.0,0.23660714285714285,0.0,0.7987012987012987,0.38311688311688313,0.6258116883116883,0.9012345679012346,0.43209876543209874,0.02937378954163977,0.02775984506132989,0.7656552614590059,3098,84,0.19364015551035368,0.3375115196394016,15.059480018438926,26.94154034476387,2924,6.5007646312389005,6.813917335078258,5.163431893746979,3098
modern,1990,2024,7993,235,0.00025021894157387716,0.5433504316276743,0.0,0.4879269360690604,0.30063805830101337,0.33028900287751783,0.3829787234042553,0.19574468085106383,0.0004231460911879826,0.00031735956839098697,0.4466306992489157,9453,269,0.21779797443075247,0.33218500521713334,13.341795726115283,41.180425817629114,9446,7.192424787698623,6.899258913134089,5.382571700309209,9453
