SID,era,trk,delta_km,horizon
1950160N19091,142.8627135637822,149.38526026356038,6.522546699778189,48h
1950192N25079,129.03032688332254,106.56263267733308,-22.46769420598946,48h
1950221N21089,175.6011486309523,234.39497842759687,58.79382979664456,48h
1950336N07086,346.9354342496216,401.772068593579,54.83663434395737,48h
1951340N08090,236.14295808543758,245.3268786673423,9.183920581904715,48h
1952186N21089,279.44162924395704,190.82694689750852,-88.61468234644852,48h
1952209N22087,240.62537640006974,150.89801249888683,-89.72736390118291,48h
1955273N18090,428.04867644258115,487.9772694064475,59.92859296386632,48h
1956150N22090,186.74565665004323,221.5253495053548,34.779692855311566,48h
1956227N18088,493.13058684975533,454.39607841554965,-38.73450843420568,48h
1958136N16088,262.81894254274056,274.470458717576,11.651516174835422,48h
1958251N20090,204.76683695813156,172.42818949800548,-32.33864746012608,48h
1958279N10086,171.27684109092309,152.57028787779043,-18.70655321313265,48h
1960182N20089,180.48544109751492,215.47717525988776,34.991734162372836,48h
1960302N08090,479.3175780153722,516.1672468833411,36.849668867968944,48h
1961125N11096,250.99654846343876,270.67656316663926,19.6800147032005,48h
1962343N10090,464.2234422184572,514.2828703422001,50.05942812374292,48h
1963221N20089,208.7130135597885,233.96044137444596,25.24742781465747,48h
1963274N15115,305.6473370011708,314.47952091552406,8.832183914353266,48h
1963334N05090,229.5634026336519,229.69857616565886,0.13517353200697357,48h
1964222N20090,219.0107092018406,190.62121420398256,-28.389494997858037,48h
1964267N21089,313.86299978800184,359.9546320373008,46.09163224929898,48h
1964291N16091,202.4084734258587,214.68792232661295,12.27944890075426,48h
1965129N14085,360.7986375740544,365.4991061022779,4.700468528223496,48h
1965207N21090,193.978761325558,205.05754071368352,11.078779388125525,48h
1965238N14114,369.2731143160908,383.4677212230202,14.19460690692938,48h
1966341N08088,367.47257166477726,301.58249313350024,-65.89007853127703,48h
1967207N20088,410.28680794676643,384.82449158775097,-25.46231635901546,48h
1968307N11087,144.2271566729496,112.97729880452228,-31.249857868427327,48h
1969308N12095,224.03062687520742,249.0142985262629,24.983671651055488,48h
1969355N04091,239.38285328841096,269.83914425303664,30.45629096462568,48h
1970324N05143,341.1867315577101,359.6631648657559,18.476433308045785,48h
1971267N12130,183.40195776421632,194.0505672436628,10.648609479446492,48h
1971308N11092,656.8063388545161,656.3647152079105,-0.4416236466055352,48h
