role,SID,NAME,horizon,ISO_TIME,origin_lat,origin_lon,true_lat,true_lon,best_competitor_at_horizon,sece_v2_phase3_lat,sece_v2_phase3_lon,stacking_ensemble_lat,stacking_ensemble_lon,persistence_residual_cascade_lat,persistence_residual_cascade_lon,random_forest_lat,random_forest_lon,lightgbm_lat,lightgbm_lon,xgboost_lat,xgboost_lon,catboost_lat,catboost_lon,cbplusmotionnn_lat,cbplusmotionnn_lon
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-17 03:00:00,10.7,89.3,11.4,87.6,Stacking Ensemble,11.40372741201006,87.27420468120879,11.315241603926077,87.37026088485787,11.278044540501456,87.47448668588001,11.327666666666666,87.29166666666666,11.272848432519,87.45893141368258,11.31531675,87.5035248,11.43835924325156,87.55733402144162,11.474967431686315,87.31911996589994
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-17 06:00:00,10.8,88.7,11.6,87.2,Stacking Ensemble,11.595114721630086,87.11954957764377,11.470476841616565,86.9969412813896,11.432034150458948,86.97991253788886,11.551666666666668,87.065,11.516876892979907,87.08224423879489,11.46239965,87.0228005,11.390929807638418,86.89118572131747,11.61906248284159,87.22311179062625
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-17 09:00:00,11.0,88.3,11.7,86.8,Stacking Ensemble,12.052760589506034,86.94244930590227,11.890610099429281,86.85715877791023,11.888176715297005,86.94649485005571,11.989333333333335,86.86266666666667,11.795916468033937,86.94383538098795,11.8507338,86.9123352,11.797910735171484,86.80404935471638,12.170091467770007,87.06450023172583
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-17 12:00:00,11.2,87.9,11.8,86.3,Stacking Ensemble,12.030860523072732,86.72641397354536,11.965416471213107,86.73577416767684,11.968045799364763,86.69993981244656,12.025,86.79366666666667,11.941930314456565,86.71213666424433,11.963561839999999,86.66534820000001,11.927284048660665,86.51413177632865,12.042252744077636,86.6950059183644
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-17 15:00:00,11.4,87.6,12.1,85.4,Stacking Ensemble,12.11330520866489,86.13841822301615,12.016411728843245,86.16904262167817,11.963549139409377,86.32544503542071,12.015666666666668,86.10466666666666,12.000588116850068,86.2978465086085,12.006203300000001,86.2135126,12.129406771247254,86.30103168606121,12.18381411353796,86.2174108092212
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-17 18:00:00,11.6,87.2,12.5,84.6,Stacking Ensemble,12.020059716643242,85.83857527531535,12.058946005675242,85.95664612165818,11.954274347432257,85.95824105157803,12.081666666666667,85.97766666666666,12.007377346135694,85.93353746727185,12.04759855,85.9195803,12.168419841312282,85.72175552273931,11.979728531377274,85.74075370117774
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-17 21:00:00,11.7,86.8,12.9,84.0,Stacking Ensemble,12.119753081473869,84.6381428006233,12.025170742286425,84.75586837187124,12.011580947853165,84.82520976463782,12.016333333333332,84.62899999999999,12.038849636351532,84.8666132163649,12.02505304,84.9295959,12.177481632487492,84.9830403668009,12.189502502185224,84.71399429808457
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-18 00:00:00,11.8,86.3,13.1,83.5,Stacking Ensemble,12.774839037144591,83.81467573908675,12.55848262640092,84.02001019800227,12.578695344690754,83.9362618500506,12.600000000000001,84.015,12.567308275190209,83.84508694229375,12.5630147,83.99547319999999,12.500562341719666,84.0759699632619,12.91851299280763,83.68996457140241
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-18 03:00:00,12.1,85.4,13.1,83.0,Stacking Ensemble,13.58980221737887,82.56722627753607,13.195138049606225,82.4300688885925,13.32105924020441,82.64819116367242,13.171333333333333,82.41900000000001,13.18435831939389,82.55698151905642,13.2235006,82.78023800000001,13.265655995210956,82.68455783549565,13.924210895967896,82.80355970089593
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-18 06:00:00,12.5,84.6,13.1,82.6,Stacking Ensemble,13.95725174042428,82.42239837500748,13.735791789479231,82.20436580251521,13.735114425770934,82.64411809564949,13.698333333333332,82.25733333333334,13.740563970899206,82.46666196131248,13.6918882,82.7519653,13.670171191212933,82.24529462368116,14.120276243370872,82.65545399393869
